epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4873.15,0.67961,0.38812,0.00687,0.80627,0.83065,0.88414,0.71021,0.80582,0.56048,0.01148,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4978.68,0.67059,0.38423,0.00694,0.80796,0.8116,0.87156,0.70114,0.8081,0.62904,0.01155,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5083.93,0.66531,0.37553,0.0069,0.80274,0.83892,0.87662,0.70401,0.80782,0.6298,0.01157,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5189.35,0.66649,0.37826,0.00693,0.7928,0.80624,0.87015,0.70105,0.80137,0.62719,0.01147,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5294.49,0.66102,0.36978,0.00687,0.78747,0.84483,0.88229,0.71296,0.79574,0.61163,0.01135,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5400.1,0.65154,0.35271,0.00664,0.79233,0.83459,0.86956,0.70105,0.79702,0.6285,0.01139,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5505.24,0.64416,0.34996,0.00659,0.79516,0.82506,0.86896,0.70069,0.80392,0.64627,0.01147,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5610.23,0.64885,0.3637,0.00662,0.80455,0.82246,0.86368,0.69817,0.79647,0.65677,0.01133,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5715.5,0.63487,0.34933,0.00661,0.77297,0.84026,0.86517,0.69987,0.79653,0.64639,0.01136,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5821.05,0.63375,0.34257,0.0064,0.79297,0.82928,0.86809,0.70424,0.79635,0.63977,0.01139,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5926.95,0.62729,0.33887,0.00637,0.80624,0.82335,0.877,0.71015,0.79784,0.63818,0.01141,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6031.59,0.63099,0.34113,0.0064,0.77569,0.84214,0.87439,0.70955,0.79002,0.64592,0.01122,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6136.67,0.62048,0.3273,0.00629,0.80322,0.8383,0.87557,0.71134,0.79446,0.63597,0.01135,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
